algorithm, network, bbdd, SHD, BDeu Score, dfMM, dfMM plus, dfMM minus, Total time(s)
fges,barley,.xbif50001246_.csv,55,-362401.2366679569,132.0,6.0,126.0,5.388
fges,barley,.xbif50001_.csv,56,-361242.7122987483,134.0,6.0,128.0,4.947
fges,barley,.xbif50002_.csv,55,-360055.25158562214,132.0,6.0,126.0,4.873
fges,barley,.xbif50003_.csv,55,-361508.3379886703,132.0,6.0,126.0,4.864
fges,barley,.xbif50004_.csv,55,-355698.243240469,132.0,6.0,126.0,6.47
fges,barley,.xbif50005_.csv,58,-353510.89738220884,138.0,8.0,130.0,4.512
fges,barley,.xbif50006_.csv,55,-361323.3466819551,132.0,6.0,126.0,4.583
fges,barley,.xbif50007_.csv,56,-358979.91273688985,134.0,6.0,128.0,4.301
fges,barley,.xbif50008_.csv,56,-362376.70226679754,134.0,6.0,128.0,14.997
fges,barley,.xbif50009_.csv,56,-363564.3796694427,134.0,6.0,128.0,5.401
fges,barley,.xbif_.csv,58,-351093.9343744589,138.0,8.0,130.0,4.992
