algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
GES_BNBuilder,res/andes,andes.xbif_,1,-1,-1,173,-0.4181927461851755,-475749.2570055629,382.0,40.0,342.0,1,662.494
PGESwithStages,res/andes,andes.xbif_,2,5,11,158,-0.5430818814275808,-475360.55184831895,342.0,8.0,334.0,36,312.569
PGESwithStages,res/andes,andes.xbif_,2,5,11,161,-0.5402380544947913,-475594.8371825472,350.0,10.0,340.0,37,307.661
PGESwithStages,res/andes,andes.xbif_,2,5,11,163,-0.5432798755729059,-475417.2109883741,356.0,20.0,336.0,36,305.493
PGESwithStages,res/andes,andes.xbif_,2,5,13,166,-0.5488644606766969,-475477.957919961,366.0,26.0,340.0,36,297.333
PGESwithStages,res/andes,andes.xbif_,2,5,13,166,-0.5481772838489261,-475477.957919961,366.0,26.0,340.0,36,296.402
PGESwithStages,res/andes,andes.xbif_,2,5,13,166,-0.5481772838489261,-475477.957919961,366.0,26.0,340.0,36,298.086
PGESwithStages,res/andes,andes.xbif_,2,5,17,162,-0.5420168207264661,-475264.4187172323,352.0,12.0,340.0,36,327.033
PGESwithStages,res/andes,andes.xbif_,2,5,17,162,-0.5420168207264661,-475264.4187172323,352.0,12.0,340.0,36,348.855
PGESwithStages,res/andes,andes.xbif_,2,5,17,162,-0.5420168207264661,-475264.4187172323,352.0,12.0,340.0,36,321.778
PGESwithStages,res/andes,andes.xbif_,2,5,19,173,-0.5422732262704006,-475377.74781351024,372.0,26.0,346.0,38,327.661
PGESwithStages,res/andes,andes.xbif_,2,5,19,172,-0.5482778273160016,-475357.03970942507,370.0,24.0,346.0,38,331.221
PGESwithStages,res/andes,andes.xbif_,2,5,19,179,-0.5490827222711651,-475377.8617668232,384.0,32.0,352.0,38,324.425
PGESwithStages,res/andes,andes.xbif_,2,5,2,173,-0.5465475532557529,-475643.8263918343,380.0,36.0,344.0,38,331.097
PGESwithStages,res/andes,andes.xbif_,2,5,2,173,-0.5430218961165679,-475581.61293769296,380.0,34.0,346.0,39,342.485
PGESwithStages,res/andes,andes.xbif_,2,5,2,175,-0.5410351600608586,-475639.2958943125,386.0,40.0,346.0,37,308.192
PGESwithStages,res/andes,andes.xbif_,2,5,23,168,-0.5452728897045045,-475438.9833850451,364.0,24.0,340.0,36,315.646
PGESwithStages,res/andes,andes.xbif_,2,5,23,168,-0.5452728897045045,-475438.9833850451,364.0,24.0,340.0,36,312.402
PGESwithStages,res/andes,andes.xbif_,2,5,23,168,-0.5452728897045045,-475438.9833850451,364.0,24.0,340.0,36,307.243
PGESwithStages,res/andes,andes.xbif_,2,5,29,161,-0.545037493835999,-475363.253052967,348.0,12.0,336.0,36,299.314
PGESwithStages,res/andes,andes.xbif_,2,5,29,161,-0.545037493835999,-475363.253052967,348.0,12.0,336.0,36,301.161
PGESwithStages,res/andes,andes.xbif_,2,5,29,161,-0.545037493835999,-475363.253052967,348.0,12.0,336.0,36,303.241
PGESwithStages,res/andes,andes.xbif_,2,5,3,168,-0.5461058654797883,-475451.99717017746,368.0,26.0,342.0,36,310.254
PGESwithStages,res/andes,andes.xbif_,2,5,3,164,-0.5454682469626158,-475632.1907951573,356.0,20.0,336.0,36,307.569
PGESwithStages,res/andes,andes.xbif_,2,5,3,168,-0.5461058654797883,-475451.99717017746,368.0,26.0,342.0,36,306.326
PGESwithStages,res/andes,andes.xbif_,2,5,5,169,-0.5442165780087007,-475481.8580293074,370.0,26.0,344.0,36,304.896
PGESwithStages,res/andes,andes.xbif_,2,5,5,166,-0.5381623336778895,-475429.32684560964,358.0,18.0,340.0,36,311.467
PGESwithStages,res/andes,andes.xbif_,2,5,5,166,-0.5381623336778895,-475429.32684560964,358.0,18.0,340.0,36,304.643
PGESwithStages,res/andes,andes.xbif_,2,5,7,174,-0.5402654994142136,-475366.5317748568,376.0,26.0,350.0,36,304.626
PGESwithStages,res/andes,andes.xbif_,2,5,7,161,-0.5487143418985093,-475409.79950085736,348.0,12.0,336.0,36,303.146
PGESwithStages,res/andes,andes.xbif_,2,5,7,161,-0.5487143418985093,-475409.79950085736,348.0,12.0,336.0,36,306.569
